Record Type,Policy Number,Carrier Name,Last Name,First Name,DOB,Gender,State,LE Months,LE Provider,Date Of Death,Role,Product Type,Plan Name,Issue Date,Issue Age,Basic Face,Owner,Premium Required,Premium Mode,Next Premium Due,Acquisition Date,Acquisition Cost,Status,As Of Date,AV,CSV,COI,Death Benefit,Loan Balance,Transaction Date,Transaction Type,Amount,Remarks,Due Date,Estimated Amount,Note,Proceeds Amount,Proceeds Received On,Case Files Link
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,02/18/2023,378902.00,378902.00,8722.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,08/18/2023,368293.00,368293.00,8897.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,02/18/2024,357981.00,357981.00,9075.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,08/18/2024,347957.00,347957.00,9256.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,02/18/2025,338214.00,338214.00,9441.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,08/18/2025,328744.00,328744.00,9630.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,02/18/2026,319540.00,319540.00,9823.00,5000000,0.00,,,,,,,,,,
Value,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,08/18/2026,310592.00,310592.00,10019.00,5000000,0.00,,,,,,,,,,
Premium,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2028,91960.00,Per the current carrier illustration,,,
Premium,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2029,96098.20,,,,
Premium,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2030,100422.62,,,,
Premium,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2031,104941.64,,,,
Premium,LF-3392014,Lincoln Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2032,109664.01,,,,
Policy,JH-7741208,John Hancock,Bellweather,Charles,06/02/1938,M,FL,84,AVS,,,SUL,Survivorship UL,09/30/2004,66,8000000,,142000,Annual,01/18/2027,12/18/2018,1480000,Inforce,,,,,,,,,,,,,,,,
Life,JH-7741208,John Hancock,Bellweather,Marguerite,11/18/1941,F,FL,96,,,Survivorship,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2018,Acquisition Cost,1480000.00,Purchase price,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2018,Premium Payment,142000.00,Policy year 1,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2019,Premium Payment,147680.00,Policy year 2,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2020,Premium Payment,153587.20,Policy year 3,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2021,Premium Payment,159730.69,Policy year 4,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2022,Premium Payment,166119.92,Policy year 5,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2023,Premium Payment,172764.71,Policy year 6,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2024,Premium Payment,179675.30,Policy year 7,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2025,Premium Payment,186862.31,Policy year 8,,,,,,
Transaction,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/21/2018,Fee,17760.00,Closing and escrow,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,08/18/2019,671759.00,651606.00,12600.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,02/18/2020,650934.00,631406.00,12852.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,08/18/2020,630755.00,611832.00,13109.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,02/18/2021,611202.00,592866.00,13371.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,08/18/2021,592255.00,574487.00,13639.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,02/18/2022,573895.00,556678.00,13911.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,08/18/2022,556104.00,539421.00,14190.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,02/18/2023,538865.00,522699.00,14473.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,08/18/2023,522160.00,506495.00,14763.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,02/18/2024,505973.00,490794.00,15058.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,08/18/2024,490288.00,475579.00,15359.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,02/18/2025,475089.00,460836.00,15667.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,08/18/2025,460361.00,446550.00,15980.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,02/18/2026,446090.00,432707.00,16299.00,8000000,0.00,,,,,,,,,,
Value,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,08/18/2026,432261.00,419293.00,16625.00,8000000,0.00,,,,,,,,,,
Premium,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2028,147680.00,Per the current carrier illustration,,,
Premium,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2029,153587.20,,,,
Premium,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2030,159730.69,,,,
Premium,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2031,166119.92,,,,
Premium,JH-7741208,John Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2032,172764.71,,,,
Policy,PL-5580933,Pacific Life,Castellanos,Dolores,11/09/1941,F,AZ,96,Predictive,,,VUL,Versa VUL,02/11/2008,66,3000000,,31500,Semi-Annual,10/18/2026,05/18/2021,512000,Inforce,,,,,,,,,,,,,,,,
Transaction,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2021,Acquisition Cost,512000.00,Purchase price,,,,,,
Transaction,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2021,Premium Payment,31500.00,Policy year 1,,,,,,
Transaction,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2022,Premium Payment,33075.00,Policy year 2,,,,,,
Transaction,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2023,Premium Payment,34728.75,Policy year 3,,,,,,
Transaction,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2024,Premium Payment,36465.19,Policy year 4,,,,,,
Transaction,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2025,Premium Payment,38288.45,Policy year 5,,,,,,
Transaction,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2026,Premium Payment,40202.87,Policy year 6,,,,,,
Transaction,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/21/2021,Fee,6144.00,Closing and escrow,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,08/18/2021,79430.00,74664.00,3100.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,02/18/2022,77762.00,73096.00,3162.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,08/18/2022,76129.00,71561.00,3225.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,02/18/2023,74530.00,70058.00,3290.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,08/18/2023,72965.00,68587.00,3356.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,02/18/2024,71433.00,67147.00,3423.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,08/18/2024,69933.00,65737.00,3491.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,02/18/2025,68464.00,64356.00,3561.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,08/18/2025,67027.00,63005.00,3632.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,02/18/2026,65619.00,61682.00,3705.00,3000000,0.00,,,,,,,,,,
Value,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,08/18/2026,64241.00,60387.00,3779.00,3000000,0.00,,,,,,,,,,
Premium,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2027,33075.00,Per the current carrier illustration,,,
Premium,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2028,34728.75,,,,
Premium,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2029,36465.19,,,,
Premium,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2030,38288.45,,,,
Premium,PL-5580933,Pacific Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2031,40202.87,,,,
Policy,PR-2214887,Prudential,Duchamp,Alain,07/22/1937,M,NY,66,ITM21st,,,GUL,PruLife Universal,11/05/2003,66,2500000,,54000,Annual,07/27/2026,06/18/2019,445000,Grace,,,,,,,,,,,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2019,Acquisition Cost,445000.00,Purchase price,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2019,Premium Payment,54000.00,Policy year 1,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2020,Premium Payment,56052.00,Policy year 2,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2021,Premium Payment,58181.98,Policy year 3,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2022,Premium Payment,60392.89,Policy year 4,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2023,Premium Payment,62687.82,Policy year 5,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2024,Premium Payment,65069.96,Policy year 6,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2025,Premium Payment,67542.62,Policy year 7,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2026,Premium Payment,70109.24,Policy year 8,,,,,,
Transaction,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/21/2019,Fee,5340.00,Closing and escrow,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,08/18/2019,15148.00,13330.00,5200.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,02/18/2020,14315.00,12597.00,5304.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,08/18/2020,13528.00,11905.00,5410.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,02/18/2021,12784.00,11250.00,5518.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,08/18/2021,12081.00,10631.00,5629.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,02/18/2022,11416.00,10046.00,5741.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,08/18/2022,10788.00,9493.00,5856.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,02/18/2023,10195.00,8972.00,5973.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,08/18/2023,9634.00,8478.00,6093.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,02/18/2024,9104.00,8012.00,6214.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,08/18/2024,8604.00,7572.00,6339.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,02/18/2025,8130.00,7154.00,6466.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,08/18/2025,7683.00,6761.00,6595.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,02/18/2026,7261.00,6390.00,6727.00,2500000,0.00,,,,,,,,,,
Value,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,08/18/2026,6861.00,6038.00,6861.00,2500000,0.00,,,,,,,,,,
Premium,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/27/2027,56052.00,Per the current carrier illustration,,,
Premium,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/27/2028,58181.98,,,,
Premium,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/27/2029,60392.89,,,,
Premium,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/27/2030,62687.82,,,,
Premium,PR-2214887,Prudential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/27/2031,65069.96,,,,
Policy,MM-9903412,MassMutual,Ellery,Frances,03/30/1939,F,TX,72,AVS,,,UL,Foundation UL,06/14/2007,68,1500000,,39000,Quarterly,09/18/2026,09/18/2022,286000,Inforce,,,,,,,,,,,,,,,,
Transaction,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2022,Acquisition Cost,286000.00,Purchase price,,,,,,
Transaction,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2022,Premium Payment,39000.00,Policy year 1,,,,,,
Transaction,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2023,Premium Payment,40599.00,Policy year 2,,,,,,
Transaction,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2024,Premium Payment,42263.56,Policy year 3,,,,,,
Transaction,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2025,Premium Payment,43996.36,Policy year 4,,,,,,
Transaction,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/21/2022,Fee,3432.00,Closing and escrow,,,,,,
Value,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,02/18/2023,10385.00,9450.00,3400.00,1500000,0.00,,,,,,,,,,
Value,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,08/18/2023,9658.00,8789.00,3468.00,1500000,0.00,,,,,,,,,,
Value,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,02/18/2024,8982.00,8174.00,3537.00,1500000,0.00,,,,,,,,,,
Value,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,08/18/2024,8353.00,7601.00,3608.00,1500000,0.00,,,,,,,,,,
Value,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,02/18/2025,7769.00,7070.00,3680.00,1500000,0.00,,,,,,,,,,
Value,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,08/18/2025,7225.00,6575.00,3754.00,1500000,0.00,,,,,,,,,,
Value,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,02/18/2026,6719.00,6114.00,3829.00,1500000,0.00,,,,,,,,,,
Value,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,08/18/2026,6249.00,5687.00,3906.00,1500000,0.00,,,,,,,,,,
Premium,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2027,40599.00,Per the current carrier illustration,,,
Premium,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2028,42263.56,,,,
Premium,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2029,43996.36,,,,
Premium,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2030,45800.22,,,,
Premium,MM-9903412,MassMutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/18/2031,47678.02,,,,
Policy,AX-1180567,AXA / Equitable,Fontaine,Gerald,01/17/1943,M,CA,102,Predictive,,,IUL,Athena IUL,08/22/2010,67,4000000,,62000,Annual,05/18/2027,06/18/2023,690000,Inforce,,,,,,,,,,,,,,,,
Transaction,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2023,Acquisition Cost,690000.00,Purchase price,,,,,,
Transaction,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2023,Premium Payment,62000.00,Policy year 1,,,,,,
Transaction,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2024,Premium Payment,64976.00,Policy year 2,,,,,,
Transaction,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2025,Premium Payment,68094.85,Policy year 3,,,,,,
Transaction,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/18/2026,Premium Payment,71363.40,Policy year 4,,,,,,
Transaction,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/21/2023,Fee,8280.00,Closing and escrow,,,,,,
Value,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,08/18/2023,98457.00,94519.00,5600.00,4000000,0.00,,,,,,,,,,
Value,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,02/18/2024,96685.00,92818.00,5712.00,4000000,0.00,,,,,,,,,,
Value,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,08/18/2024,94945.00,91147.00,5826.00,4000000,0.00,,,,,,,,,,
Value,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,02/18/2025,93236.00,89507.00,5943.00,4000000,0.00,,,,,,,,,,
Value,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,08/18/2025,91558.00,87896.00,6062.00,4000000,0.00,,,,,,,,,,
Value,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,02/18/2026,89910.00,86314.00,6183.00,4000000,0.00,,,,,,,,,,
Value,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,08/18/2026,88291.00,84759.00,6307.00,4000000,0.00,,,,,,,,,,
Premium,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2028,64976.00,Per the current carrier illustration,,,
Premium,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2029,68094.85,,,,
Premium,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2030,71363.40,,,,
Premium,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2031,74788.84,,,,
Premium,AX-1180567,AXA / Equitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/18/2032,78378.71,,,,
Policy,BH-4407731,Brighthouse,Grimaldi,Rosa,05/08/1945,F,NJ,90,ITM21st,,,Term,SimplySelect Term,03/02/2012,66,1000000,,24000,Annual,12/18/2026,03/18/2024,148000,Inforce,,,,,,,,,,,,,,,,
Transaction,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2024,Acquisition Cost,148000.00,Purchase price,,,,,,
Transaction,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2024,Premium Payment,24000.00,Policy year 1,,,,,,
Transaction,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2025,Premium Payment,24000.00,Policy year 2,,,,,,
Transaction,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2026,Premium Payment,24000.00,Policy year 3,,,,,,
Transaction,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/21/2024,Fee,1776.00,Closing and escrow,,,,,,
Value,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,08/18/2024,0.00,0.00,0.00,1000000,0.00,,,,,,,,,,
Value,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,02/18/2025,0.00,0.00,0.00,1000000,0.00,,,,,,,,,,
Value,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,08/18/2025,0.00,0.00,0.00,1000000,0.00,,,,,,,,,,
Value,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,02/18/2026,0.00,0.00,0.00,1000000,0.00,,,,,,,,,,
Value,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,08/18/2026,0.00,0.00,0.00,1000000,0.00,,,,,,,,,,
Premium,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2027,24000.00,Per the current carrier illustration,,,
Premium,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2028,24000.00,,,,
Premium,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2029,24000.00,,,,
Premium,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2030,24000.00,,,,
Premium,BH-4407731,Brighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2031,24000.00,,,,
Policy,GW-6628190,Genworth,Halvorsen,Nils,09/12/1934,M,WA,60,AVS,,,UL,Cornerstone UL,01/28/2002,67,6000000,,118000,Annual,07/18/2027,03/18/2018,1310000,Inforce,,,,,,,,,,,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2018,Acquisition Cost,1310000.00,Purchase price,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2018,Premium Payment,118000.00,Policy year 1,,,,,,
