,Insured Name,Marguerite A Fairbanks,,
,,2031-05-14,7450.37,4000000
,,2031-06-14,7450.37,4000000
,,2031-07-14,7450.37,4000000
,,2031-08-14,7450.37,4000000
,,2031-09-14,9536.47,4000000
,,2031-10-14,9536.47,4000000
,,2031-11-14,9536.47,4000000
,,2031-12-14,9536.47,4000000
,,2032-01-14,9536.47,4000000
,,2032-02-14,9536.47,4000000
,,2032-03-14,9536.47,4000000
,,2032-04-14,9536.47,4000000
,,2032-05-14,9536.47,4000000
,,2032-06-14,9536.47,4000000
,,2032-07-14,9536.47,4000000
,,2032-08-14,9536.47,4000000
,,2032-09-14,9536.47,4000000
,,2032-10-14,9536.47,4000000
,,2032-11-14,9536.47,4000000
,,2032-12-14,9536.47,4000000
,,2033-01-14,9536.47,4000000
,,2033-02-14,9536.47,4000000
,,2033-03-14,9536.47,4000000
,,2033-04-14,9536.47,4000000
,,2033-05-14,9536.47,4000000
,,2033-06-14,9536.47,4000000
,,2033-07-14,9536.47,4000000
,,2033-08-14,9536.47,4000000
,,2033-09-14,9536.47,4000000
,,2033-10-14,9536.47,4000000
,,2033-11-14,9536.47,4000000
,,2033-12-14,9536.47,4000000
,,2034-01-14,9536.47,4000000
,,2034-02-14,9536.47,4000000
,,2034-03-14,9536.47,4000000
,,2034-04-14,9536.47,4000000
,,2034-05-14,9536.47,4000000
,,2034-06-14,9536.47,4000000
,,2034-07-14,9536.47,4000000
,,2034-08-14,9536.47,4000000
,,2034-09-14,9536.47,4000000
,,2034-10-14,9536.47,4000000
,,2034-11-14,9536.47,4000000
,,2034-12-14,9536.47,4000000
,,2035-01-14,9536.47,4000000
,,2035-02-14,9536.47,4000000
,,2035-03-14,9536.47,4000000
,,2035-04-14,9536.47,4000000
,,2035-05-14,9536.47,4000000
,,2035-06-14,9536.47,4000000
,,2035-07-14,9536.47,4000000
,,2035-08-14,9536.47,4000000
,,2035-09-14,9536.47,4000000
,,2035-10-14,9536.47,4000000
,,2035-11-14,9536.47,4000000
,,2035-12-14,9536.47,4000000
,,2036-01-14,9536.47,4000000
,,2036-02-14,9536.47,4000000
,,2036-03-14,9536.47,4000000
,,2036-04-14,9536.47,4000000
,,2036-05-14,9536.47,4000000
,,2036-06-14,9536.47,4000000
,,2036-07-14,9536.47,4000000
,,2036-08-14,9536.47,4000000
,,2036-09-14,11622.58,4000000
,,2036-10-14,11622.58,4000000
,,2036-11-14,11622.58,4000000
,,2036-12-14,11622.58,4000000
,,2037-01-14,11622.58,4000000
,,2037-02-14,11622.58,4000000
,,2037-03-14,11622.58,4000000
,,2037-04-14,11622.58,4000000
,,2037-05-14,11622.58,4000000
,,2037-06-14,11622.58,4000000
,,2037-07-14,11622.58,4000000
,,2037-08-14,11622.58,4000000
,,2037-09-14,11622.58,4000000
,,2037-10-14,11622.58,4000000
,,2037-11-14,11622.58,4000000
,,2037-12-14,11622.58,4000000
,,2038-01-14,11622.58,4000000
,,2038-02-14,11622.58,4000000
,,2038-03-14,11622.58,4000000
,,2038-04-14,11622.58,4000000
,,2038-05-14,11622.58,4000000
,,2038-06-14,11622.58,4000000
,,2038-07-14,11622.58,4000000
,,2038-08-14,11622.58,4000000
,,2038-09-14,11622.58,4000000
,,2038-10-14,11622.58,4000000
,,2038-11-14,11622.58,4000000
,,2038-12-14,11622.58,4000000
,,2039-01-14,11622.58,4000000
,,2039-02-14,11622.58,4000000
,,2039-03-14,11622.58,4000000
,,2039-04-14,11622.58,4000000
,,2039-05-14,11622.58,4000000
,,2039-06-14,11622.58,4000000
,,2039-07-14,11622.58,4000000
,,2039-08-14,11622.58,4000000
,,2039-09-14,11622.58,4000000
,,2039-10-14,11622.58,4000000
,,2039-11-14,11622.58,4000000
,,2039-12-14,11622.58,4000000
,,2040-01-14,11622.58,4000000
,,2040-02-14,11622.58,4000000
,,2040-03-14,11622.58,4000000
,,2040-04-14,11622.58,4000000
,,2040-05-14,11622.58,4000000
,,2040-06-14,11622.58,4000000
,,2040-07-14,11622.58,4000000
,,2040-08-14,11622.58,4000000
,,2040-09-14,11622.58,4000000
,,2040-10-14,11622.58,4000000
,,2040-11-14,11622.58,4000000
,,2040-12-14,11622.58,4000000
,,2041-01-14,11622.58,4000000
,,2041-02-14,11622.58,4000000
,,2041-03-14,11622.58,4000000
,,2041-04-14,11622.58,4000000
,,2041-05-14,11622.58,4000000
,,2041-06-14,11622.58,4000000
,,2041-07-14,11622.58,4000000
,,2041-08-14,11622.58,4000000
,,2041-09-14,13708.68,4000000
,,2041-10-14,13708.68,4000000
,,2041-11-14,13708.68,4000000
,,2041-12-14,13708.68,4000000
,,2042-01-14,13708.68,4000000
,,2042-02-14,13708.68,4000000
,,2042-03-14,13708.68,4000000
,,2042-04-14,13708.68,4000000
,,2042-05-14,13708.68,4000000
,,2042-06-14,13708.68,4000000
,,2042-07-14,13708.68,4000000
,,2042-08-14,13708.68,4000000
,,2042-09-14,13708.68,4000000
,,2042-10-14,13708.68,4000000
,,2042-11-14,13708.68,4000000
,,2042-12-14,13708.68,4000000
,,2043-01-14,13708.68,4000000
,,2043-02-14,13708.68,4000000
,,2043-03-14,13708.68,4000000
,,2043-04-14,13708.68,4000000
,,2043-05-14,13708.68,4000000
,,2043-06-14,13708.68,4000000
,,2043-07-14,13708.68,4000000
,,2043-08-14,13708.68,4000000
,,2043-09-14,13708.68,4000000
,,2043-10-14,13708.68,4000000
,,2043-11-14,13708.68,4000000
,,2043-12-14,13708.68,4000000
,,2044-01-14,13708.68,4000000
,,2044-02-14,13708.68,4000000
,,2044-03-14,13708.68,4000000
,,2044-04-14,13708.68,4000000
,,2044-05-14,13708.68,4000000
,,2044-06-14,13708.68,4000000
,,2044-07-14,13708.68,4000000
,,2044-08-14,13708.68,4000000
,,2044-09-14,13708.68,4000000
,,2044-10-14,13708.68,4000000
,,2044-11-14,13708.68,4000000
,,2044-12-14,13708.68,4000000
,,2045-01-14,13708.68,4000000
,,2045-02-14,13708.68,4000000
,,2045-03-14,13708.68,4000000
,,2045-04-14,13708.68,4000000
,,2045-05-14,13708.68,4000000
,,2045-06-14,13708.68,4000000
,,2045-07-14,13708.68,4000000
,,2045-08-14,13708.68,4000000
,,2045-09-14,13708.68,4000000
,,2045-10-14,13708.68,4000000
,,2045-11-14,13708.68,4000000
,,2045-12-14,13708.68,4000000
,,2046-01-14,13708.68,4000000
,,2046-02-14,13708.68,4000000
,,2046-03-14,13708.68,4000000
,,2046-04-14,13708.68,4000000
,,2046-05-14,13708.68,4000000
,,2046-06-14,13708.68,4000000
,,2046-07-14,13708.68,4000000
,,2046-08-14,13708.68,4000000
,,2046-09-14,15794.78,4000000
,,2046-10-14,15794.78,4000000
,,2046-11-14,15794.78,4000000
,,2046-12-14,15794.78,4000000
,,2047-01-14,15794.78,4000000
,,2047-02-14,15794.78,4000000
,,2047-03-14,15794.78,4000000
,,2047-04-14,15794.78,4000000
,,2047-05-14,15794.78,4000000
,,2047-06-14,15794.78,4000000
,,2047-07-14,15794.78,4000000
,,2047-08-14,15794.78,4000000
,,2047-09-14,15794.78,4000000
,,2047-10-14,15794.78,4000000
,,2047-11-14,15794.78,4000000
,,2047-12-14,15794.78,4000000
,,2048-01-14,15794.78,4000000
,,2048-02-14,15794.78,4000000
,,2048-03-14,15794.78,4000000
,,2048-04-14,15794.78,4000000
,,2048-05-14,15794.78,4000000
,,2048-06-14,15794.78,4000000
,,2048-07-14,15794.78,4000000
,,2048-08-14,15794.78,4000000
,,2048-09-14,15794.78,4000000
,,2048-10-14,15794.78,4000000
,,2048-11-14,15794.78,4000000
,,2048-12-14,15794.78,4000000
,,2049-01-14,15794.78,4000000
,,2049-02-14,15794.78,4000000
,,2049-03-14,15794.78,4000000
,,2049-04-14,15794.78,4000000
,,2049-05-14,15794.78,4000000
,,2049-06-14,15794.78,4000000
,,2049-07-14,15794.78,4000000
,,2049-08-14,15794.78,4000000
,,2049-09-14,15794.78,4000000
,,2049-10-14,15794.78,4000000
,,2049-11-14,15794.78,4000000
,,2049-12-14,15794.78,4000000
,,2050-01-14,15794.78,4000000
,,2050-02-14,15794.78,4000000
,,2050-03-14,15794.78,4000000
,,2050-04-14,15794.78,4000000
,,2050-05-14,15794.78,4000000
,,2050-06-14,15794.78,4000000
,,2050-07-14,15794.78,4000000
,,2050-08-14,15794.78,4000000
,,2050-09-14,15794.78,4000000
,,2050-10-14,15794.78,4000000
,,2050-11-14,15794.78,4000000
,,2050-12-14,15794.78,4000000
,,2051-01-14,15794.78,4000000
,,2051-02-14,15794.78,4000000
,,2051-03-14,15794.78,4000000
,,2051-04-14,15794.78,4000000
,,2051-05-14,15794.78,4000000
,,2051-06-14,15794.78,4000000
,,2051-07-14,15794.78,4000000
,,2051-08-14,15794.78,4000000
